"Country/Region Province.State","Latitude","Longtitude","Sum.of.all.patients","Mean.number.of.patients","Standard.deviation.of.mean"
"Iraq ",33.223191,43.679291,1609076462,1407765,961938
"Ireland ",53.1424,-7.6921,801077962,700855,688378
"Israel ",31.046051,34.851612,2221969354,1943980,1876183
"Italy ",41.87194,12.56738,10083161678,8821663,9064593
"Jamaica ",18.1096,-77.2975,82599171,72265,60209
"Japan ",36.204824,138.252924,7338211631,6420132,9814004
"Jordan ",31.24,36.51,991230386,867218,693731
"Kazakhstan ",48.0196,66.9237,864952333,756738,594139
"Kenya ",-0.0236,37.9062,221315836,193627,131481
"Kiribati ",-3.3704,-168.734,1396540,1221,1709
"Korea, North ",40.3399,127.5101,300,0,0
"Korea, South ",35.907757,127.766922,8467888968,7408476,10970768
"Kosovo ",42.602636,20.902977,152691820,133588,101411
"Kuwait ",29.31166,47.481766,413219780,361522,246515
"Kyrgyzstan ",41.20438,74.766098,146035075,127764,77582
"Laos ",19.85627,102.495496,92246655,80705,94963
"Latvia ",56.8796,24.6032,412014336,360467,386906
"Lebanon ",33.8547,35.8623,695765599,608718,467789
"Lesotho ",-29.61,28.2336,19994674,17493,14092
"Liberia ",6.428055,-9.429499,5024859,4396,3041
"Libya ",26.3351,17.228331,308848756,270208,203949
"Liechtenstein ",47.14,9.55,8971160,7848,8164
"Lithuania ",55.1694,23.8813,608270188,532169,507812
"Luxembourg ",49.8153,6.1296,141673313,123948,114436
"MS Zaandam ",0,0,9665,8,2
"Madagascar ",-18.766947,46.869107,44143489,38620,24657
"Malawi ",-13.2543,34.3015,54666386,47827,35777
"Malaysia ",4.210484,101.975766,2374175078,2077143,2035893
"Maldives ",3.2028,73.2207,99525516,87073,75652
"Mali ",17.570692,-3.996166,19265306,16855,12448
"Malta ",35.9375,14.3754,55970183,48967,43798
"Marshall Islands ",7.1315,171.1845,3135141,2742,5854
"Mauritania ",21.0079,-10.9408,37307802,32640,24350
"Mauritius ",-20.348404,57.552152,104989937,91854,115790
"Mexico ",23.6345,-102.5528,3944108014,3450663,2590524
"Micronesia ",7.4256,150.5508,4073178,3563,7769
"Moldova ",47.4116,28.3699,342675759,299803,216802
"Monaco ",43.7333,7.4167,6720550,5879,5970
"Mongolia ",46.8625,103.8467,487716693,426698,436796
"Montenegro ",42.708678,19.37439,153358754,134172,106422
"Morocco ",31.7917,-7.0926,802955610,702498,482817
"Mozambique ",-18.665695,35.529562,136885472,119759,96041
"Namibia ",-22.9576,18.4904,104777930,91669,70031
"Nauru ",-0.5228,166.9315,1184912,1036,1924
"Nepal ",28.1667,84.25,653536904,571773,402166
"Netherlands Aruba",12.5211,-69.9683,22046253,19288,16754
"Netherlands Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,4937810,4320,4749
"Netherlands Curacao",12.1696,-68.99,23320332,20402,18707
"Netherlands Sint Maarten",18.0425,-63.0548,5714520,4999,4393
"Netherlands ",52.1326,5.2913,4053844551,3546670,3483473
"New Zealand Cook Islands",-21.2367,-159.7777,2100967,1838,2813
"New Zealand Niue",-19.0544,-169.8672,69378,60,177
"New Zealand ",-40.9006,174.886,587613164,514097,793405
"Nicaragua ",12.865416,-85.207229,10111277,8846,5573
"Niger ",17.607789,8.081666,6313963,5524,3408
"Nigeria ",9.082,8.6753,188300124,164742,96773
"North Macedonia ",41.6086,21.7453,202398382,177076,129366
"Norway ",60.472,8.4689,646890941,565958,641664
"Oman ",21.512583,55.923255,273461449,239248,144971
"Pakistan ",30.3753,69.3451,1079772495,944682,579946
"Palau ",7.515,134.5825,2074263,1814,2494
"Panama ",8.538,-80.7821,558467809,488598,358459
"Papua New Guinea ",-6.314993,143.95555,24996001,21868,19500
"Paraguay ",-23.4425,-58.4438,434528549,380164,289321
"Peru ",-9.19,-75.0152,2499413018,2186713,1494367
"Philippines ",12.879721,121.774017,2281636877,1996182,1608495
"Poland ",51.9194,19.1451,3643680024,3187821,2460031
"Portugal ",39.3999,-8.2245,2405740042,2104759,2176377
"Qatar ",25.3548,51.1839,282392958,247062,149921
"Romania ",45.9432,24.9668,1760871192,1540569,1250398
"Russia ",61.52401,105.318756,10578569842,9255091,7924201
"Rwanda ",-1.9403,29.8739,77702485,67981,57211
"Saint Kitts and Nevis ",17.357822,-62.782998,2981130,2608,2829
"Saint Lucia ",13.9094,-60.9789,13983991,12234,11913
"Saint Vincent and the Grenadines ",12.9843,-61.2872,4860875,4252,3932
"Samoa ",-13.759,-172.1046,4965233,4344,6839
"San Marino ",43.9424,12.4578,10185486,8911,8262
"Sao Tome and Principe ",0.1864,6.6131,3753278,3283,2372
"Saudi Arabia ",23.885942,45.079162,576241072,504147,263832
"Senegal ",14.4974,-14.4524,59667120,52202,34253
"Serbia ",44.0165,21.0059,1229634680,1075795,920705
"Seychelles ",-4.6796,55.492,24270209,21233,19960
"Sierra Leone ",8.460555,-11.779889,5661556,4953,2783
"Singapore ",1.2833,103.8333,723549534,633026,815994
"Slovakia ",48.669,19.699,1354411039,1184961,1060789
"Slovenia ",46.1512,14.9955,571300536,499825,484368
"Solomon Islands ",-9.6457,160.1562,7770208,6798,9877
"Somalia ",5.152149,46.199616,17864013,15629,10593
"South Africa ",-30.5595,22.9375,2613099489,2286176,1525380
"South Sudan ",6.877,31.307,11968118,10470,6816
"Spain ",40.463667,-3.74922,7071275148,6186592,5235197
"Sri Lanka ",7.873054,80.771797,394357499,345019,292757
"Sudan ",12.8628,30.2176,42936981,37565,22509
"Summer Olympics 2020 ",35.6491,139.7737,498688,436,426
"Suriname ",3.9193,-56.0278,44282284,38742,34432
"Sweden ",60.128161,18.643501,1471014062,1286976,1032244
"Switzerland ",46.8182,8.2275,1912980451,1673648,1694931
"Syria ",34.802075,38.996815,35209217,30804,23075
"Taiwan* ",23.7,121,1966380260,1720367,3150629
"Tajikistan ",38.861,71.2761,15269261,13358,5799
"Tanzania ",-6.369028,34.888822,19173667,16774,17811
"Thailand ",15.870032,100.992541,2095658184,1833471,1985611
"Timor-Leste ",-8.874217,125.727539,13419221,11740,10497
"Togo ",8.6195,0.8248,22732219,19888,15972
"Tonga ",-21.179,-175.1982,4975228,4352,6661
"Trinidad and Tobago ",10.6918,-61.2225,83638566,73174,74539
"Tunisia ",33.886917,9.537499,644407283,563785,456799
"Turkey ",38.9637,35.2433,8840742699,7734683,6626790
"Tuvalu ",-7.1095,177.6493,322901,282,830
"US ",40,-100,53813184406,47080651,36474898
"Uganda ",1.373333,32.290275,103587926,90628,70014
"Ukraine ",48.3794,31.1656,3190613850,2791438,2175363
"United Arab Emirates ",23.424076,53.847818,653554125,571788,385572
"United Kingdom Anguilla",18.2206,-63.0686,1584536,1386,1615
"United Kingdom Bermuda",32.3078,-64.7505,7960882,6964,7318
"United Kingdom British Virgin Islands",18.4207,-64.64,3442495,3011,3106
"United Kingdom Cayman Islands",19.3133,-81.2546,11971733,10473,12937
"United Kingdom Channel Islands",49.3723,-2.3644,0,0,0
"United Kingdom Falkland Islands (Malvinas)",-51.7963,-59.5236,604830,529,802
"United Kingdom Gibraltar",36.1408,-5.3536,9926484,8684,8034
"United Kingdom Guernsey",49.448196,-2.58949,12210394,10682,13486
"United Kingdom Isle of Man",54.2361,-4.5481,16241537,14209,15808
"United Kingdom Jersey",49.2138,-2.1358,25842646,22609,25494
"United Kingdom Montserrat",16.742498,-62.187366,414462,362,544
"United Kingdom Pitcairn Islands",-24.3768,-128.3242,932,0,1
"United Kingdom Saint Helena, Ascension and Tristan da Cunha",-7.9467,-14.3559,353859,309,736
"United Kingdom Turks and Caicos Islands",21.694,-71.7979,3654433,3197,2500
"United Kingdom ",55.3781,-3.436,12024062456,10519739,9635805
"Uruguay ",-32.5228,-55.7658,498924080,436504,410246
"Uzbekistan ",41.377491,64.585262,160141741,140106,92650
"Vanuatu ",-15.3767,166.9592,3782631,3309,5116
"Venezuela ",6.4238,-66.5897,341179029,298494,214249
"Vietnam ",14.058324,108.277199,4314591370,3774795,5005278
"West Bank and Gaza ",31.9522,35.2332,412543696,360930,273109
"Winter Olympics 2022 ",39.9042,116.4074,214462,187,253
"Yemen ",15.552727,48.516388,7879435,6893,4671
"Zambia ",-13.133897,27.849332,195953683,171438,137279
"Zimbabwe ",-19.015438,29.154857,140385286,122821,109511
